"";"tweets";"value"
"1";"Replace with with and people would agree";1
"2";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32> them definitely impeach him<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E65><U+653C><U+3E64><U+623C><U+3E34><U+613C><U+3E33><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E65><U+653C><U+3E64><U+623C><U+3E34><U+613C><U+3E33>";1
"3";"I love how Cardi B is like“The illuminati are trying to kill everyone”Then the post gets deleted amp her next post is…";1
"4";"Excuse me but why is all of twitter talking about I have it on good authority tha…";1
"5";"Bukan semua artis bodoh Ko je bodoh sombong tak nak terima teguran Pastu menganjing doktor konon";1
"6";"Hahahha tumbuk nanti Pasal kecantikan ni kena tanya doctor doctor je tau Orang lain taktahu Founder produ…";1
"7";"This isnt news trump may have had sex with a pornstar years ago Now thats news";1
"8";"Looks at Cheeto’s timeline Yeah he was busy";1
"9";"yeah is getting the real dadasaheb award fro…";1
"10";"Just do or";1
"11";"Oh what joy";1
"12";"Nein der Ort gibt es nicht";1
"13";"Score for the offended by everything politically correct brigade";1
"14";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E65><U+653C><U+3E64><U+623C><U+3E34><U+613C><U+3E33> A danger Oh please Who can forget LBJs use of the Nword on Air Force One in the presence of several gove…";1
"15";"Well that was fun";1
"16";"Did change something today";1
"17";"And Islam with their world dominance Kafir killing ideologieshow these NonMuslim nations prosperand how many an Islamic cou…";1
"18";"And Islam with their world dominance Kafir killing ideologieshow these NonMuslim nations prosperand how many an…";1
"19";"Even the white teachers";1
"20";"ofsagevineandlore mgee";1
"21";"My tests have been insanely painful but I got food";1
"22";"This sounds a lot like pay to play politics But since its the Trump administration I am sure its nothing of the sort wh…";1
"23";"Tis the headhunting culture Shame on this board for its inaction of accusations amp now this Of course pr…";1
"24";"See women exercising their rights and American individualism and its their fault";1
"25";"Work hard Hahaha And yes everything I said was necessary the bloke tuts at me rolls his eyes and…";1
"26";"I’m so happy the NDP took the high road and never blamed Devine a decade and a hal…";1
"27";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E36>";1
"28";"Wake me after Snapchat decides to redesign the app for the th time SNAP down";1
"29";"Big thanks to my good friend Ronald for his tireless work in the ’s helping to create this generations PT clients We’re…";1
"30";"Big thanks to my good friend Ronald for his tireless work in the ’s helping to create this generations PT clients…";1
"31";"Really you think woah";1
"32";"I must admit that even after reading so many appeal papers with stock responses I was surprised t…";1
"33";"I love a talentless unemployed queen promoting her amazing beautiful work <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E64><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E64><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E64>";1
"34";"Nice I’ve been a user of the iOS app for a few months now Thx for the s…";1
"35";"Now that the gora sahib has himself demolished Audrey Truschkes citations we cant but accept that Audrey Truschkes tra…";1
"36";"An NRA member Im sure";1
"37";"You would think she did all herself with her staff standing around looking at her plus it was half the…";1
"38";"NEW Ice and The Face OUT NOW";1
"39";"So husband allowed you to pay that man money for his book Wheres the Federal Headship of men in…";1
"40";"The usual that some people only hear Bash trump hate on guns bash trump some more hate on guns…";1
"41";"John Torchettis st round exit as an interim coach has gone better than these two with Boudreau at the helm Who knew";1
"42";"Omg girlthis is so crazy I have my daddys Amex card my sugar daddys Visa and my Capita…";1
"43";"Soon French President addressees joint meetiing of Congress Mr Macron keep your hands in your pockets Im sure theyre s…";1
"44";"Soon French President addressees joint meetiing of Congress Mr Macron keep your hands in your pockets Im sur…";1
"45";"Excuse me but why is all of twitter talking about I have it on good authority…";1
"46";"After reading this headline I’m feeling a lot better about giving CBC billion dollars in taxpayer funds This is Pul…";1
"47";"Sucker Its an art project";1
"48";"WOW That’s about of the workforce Take out the number of people who were scheduled for raises…";1
"49";"People are going to take this literally You should consider including";1
"50";"Tak semua artis bodoh Kau je bodoh Dah bodoh sombong pulak tu taknak terima teguran";1
"51";"What they do is their Karma How you respond is yours Im trying Hard to hold my tongue Look I did it aww dammit";1
"52";"I’m shocked you analyzed this as a negative for republicans";1
"53";"There is simply no way government run health care would turn into death panels";1
"54";"Cant wait for the Kim Jong Un is just misunderstood after the summit";1
"55";"I love it when school buses are missing screws So comforting";1
"56";"This sounds a lot like pay to play politics But since its the Trump administration I am sure its nothing of th…";1
"57";"After reading this headline I’m feeling a lot better about giving CBC billion dollars in taxpayer funds This…";1
"58";"My uncle loves rap music lol";1
"59";"Bubbletittie diverfrog Come to me at five oclock";1
"60";"if the bucks win the series there will be a parade going down Wisconsin ave being lead by bango gobucks";1
"61";"Perfect example";1
"62";"Think how much faster this will happen with selfdriving trucks";1
"63";"Is Hannible deliveringgiving birth to his liver Looks like a fun time there <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E64><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32>…";1
"64";"We arent allowed to talk about posi…";1
"65";"Shockingthe district wants to change the rules again in the middle of an agreed upon plan Par for…";1
