"";"tweets";"value"
"1754";"Being a gender reassignment surgeon takes a lot of balls";1
"6447";"Boys are on the way<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E64> roar begins whistle flyiesyellow all over";0
"2898";"Replies to this perfectly moderate and rational tweet show once again the civil approach to political debate that prevails…";1
"2795";"Hvala na odgovoru Pošto ocigledno Sekretarijat nije u stanju sam da radi ono za šta je ustanovljen i p…";1
"455";"They are not paying them";1
"360";"Can you find me something in the Eastlake area Looking for sq feet for under k";1
"4626";"chants at chinna swamy stadium <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E64> cant be better than this You could just stop us getting flags…";0
"1105";"Cuz Starz has so many great shows to fall back on after AvED";1
"6239";"Get ready to witness the biggest fight of the titansIts vs Show the epic support to your teamLike…";0
"6743";"Today any change in the side of";0
"1611";"Butbutbutmy second cousin twice removed got an extra in their walmart paych…";1
"608";"your boy should keep worrying about it’s working out great for";1
"379";"Yep only logical explanation this “film” is perfection personified";1
"4816";"Score its now better Because ABD wicket lose then momentum go to";0
"4276";"Though hasn’t taken enough wickets with spin amp not topping that tree so what still they are in Top of…";0
"1379";"Epic<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32>";1
"7484";"To all the mi fans who think that they can come back after losing out of bhaiyo us sal csk nhi kheli thi <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32>";0
"7436";"oh jio tan tanaa tan oh jio tan tanaa tan jio jio jio jio tan tanaa tan <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32> Enna thaan eppavume win pan…";0
"2415";"lol True Indian economist Nobel shamed India by giving prize to amartya sen shouldve…";1
"805";"My friend is a GhostFOLLOW SHARE AND TAG";1
"2073";"Tipe orang yg kalo di RI bakal dibuang ditelantarkan dan disiakan kemampuannya <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E31><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E31><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E31>";1
"4902";"The way ABD and Mandy were playing it should have been better I dont trust the bowlers that…";0
"3391";"Thanks Lee just a little difference from the MSM ampthe Globalist version";1
"453";"Saw a middleaged guy wearing an s style What A Magic top in public didnt realise was visiting B…";1
"4416";"get ready for swings and misses followed by one connection that goes straight in the air by jadeja";0
"3701";"Say hello to TShirt season <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+393C><U+3E35>Buy Now <U+2B07><U+FE0F><U+2B07><U+FE0F><U+2B07><U+FE0F><U+2B07><U+FE0F><U+2B07><U+FE0F><U+2B07><U+FE0F>";1
"1006";"Mention otherwise its should be taken literally";1
"6282";"Watching live match at Rajiv Gandhi International Stadium HyderabadFans going crazy for and <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E65><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E34><U+613C><U+3E35>";0
"1267";"What the translators stick to the meaning as close as possibleWhat strange thing What Is…";1
"6055";"won the toss And choose to bowl stMost awaited game is here<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+393C><U+3E62>";0
"7219";"Here is my second entry with the commentary <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+383C><U+3E62>";0
"278";"just so we’re clear on your rules here it’s perfectly acceptable to give out a student crisis number…";1
"1480";"I have a buddy that works for Pepsi He enjoys Mt Dew He also enjoys Coke Its the craziest thing Ive ever heard…";1
"4901";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E39>Dont Want Virat Team To Lose<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E39>Want To Enjoy AB de Villiers Batting<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E39>Want Team To WinTough Da…";0
"3617";"I knew youd see it my way Blahh Lol <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E65><U+653C><U+3E64><U+623C><U+3E34><U+613C><U+3E36><U+200D><U+2642><U+FE0F><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E63><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E65><U+653C><U+3E64><U+623C><U+3E34><U+613C><U+3E61>";1
"1615";"Still Wow";1
"3595";"I know";1
"6537";"BLR VS CHE RCB VS CSKOur team for small and HH leaguesMake C Vc of your choice";0
"5036";"Fielding drills for at Chinnaswamy in th over";0
"6345";"It isn’t v It’s Kohli v Dhoni at Chinnaswamywhat could be the tonight Well watch out…";0
"1566";"High five get in Lol";1
"6247";"Next match were accompanying a triumph clinched";0
"4177";"Hey there New Blog";1
"4162";"Yay More snow is on the horizon for MN";1
"2759";"Mobile close up of a bee while having lunch <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E30><U+393C><U+3E64> I hope A amp C dont feel bad <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E62>";1
"4448";"BATING DAKHNE KA MAZA YA HI HAI PAR I am FAN";0
"6886";"Answered all questions correctlyHope to win Join in";0
"7602";"lauds Deepak Chahar<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E39>";0
"1684";"Good I’ve been so worried for the poor banks";1
